Pályázat témaköre,Thematic area,#,Azonosító,Pályázó szervezet neve,A pályázat címe,Project name,Settlement,Város,Project Promoter,Project name and number,Project Summary,Projekt összefoglaló,,Amount (EUR)
Ifjúsági és gyermek ügyek,youth and children issues,7,NCTA-2013-1274-D,Iskolakultúráért - Esélyteremtésért Egyesület,"Felelősség a jövőmért, a jövőnkért",Responsibility for my and our future,Győr,Győr,For School culture- For Creating More Opportunities Corporation,HU05-0109 - Responsibility for my and our future,"There is no direct technique in Hungary for teaching democratic civic education within the national education system. Students don't really participate in the everyday life of the local settlements and student organizations are also disfunctional. This proejct aims at increasing the social activity of students of the Fiáth János Elementary School by organizing volunteer programs, self-awareness trainings and a camp.","A demokratikus állampolgári nevelés teljesen hiányzik az oktatási rendszerből. A fiatalok általában nem vesznek részt településük mindennapi életében és a diákönkormányzatok sem aktívak. Ez a projekt a töltéstavi Fiáth János Általános Iskola diákjainak társadalmi aktivitását szeretné elérni önkéntes programok, önismereti tréningek és egy tábori program segítségével.",,€8 747
Ifjúsági és gyermek ügyek,youth and children issues,29,NCTA-2013-2372-D,Gyerekszem Művészeti Egyesület,„Felvétel indul!” – Együtt a kamera előtt és mögött,„Action!” – Together behind and infront of the camera,Budapest,Budapest,Kid's Eye Art Association,HU05-0113 - „Action!” – Together behind and infront of the camera,"The project aims are to dicrease the traumas of children living in foster homes and to improve their ability to cooperate with others. The long-term objective of the project is to enable children to find their place in adult life and to help their integration into society. During the project 15 teamwork documentaries and 15 fictionalized short films will be produced on tolerance, based on the participating children's experiences. The location will be provided by two Budapest based and one non-Budapest based foster homes, meetings will be on a weekly basis. Work will be assisted by group leaders: film industry professionals, teachers and psychologists. The direct target audience of the project is the group of 30 children who participate in the film-making process, the indirect target audience - cc. 500 people - are first of all those children who are involved in the process; as well as their family members, friends, schoolmates, teachers, instructors and visitors of the child film festivals.","A projekt a gyermekvédelmi gondoskodásban élő gyermekeknek kompetencia fejlesztését célozza a drámapedagógia eszközeivel és filmszakkörök tartásával. A szakköröket két budapesti és egy vidéki gyermekvédelmi intézményben tartják három csoportban 30 résztvevőnek, nyolc hónapon keresztül. A szakkörök végén az elkészült filmeket helyileg, kis körben a gyerekek osztálytársai és szülei látják, majd a 3 csoporttal egy közös workshopot és nyilvános vetítést tartanak a szervezők.",,€9 992
Ifjúsági és gyermek ügyek,youth and children issues,3,NCTA-2013-0916-D,Para-fitt Sportegyesület,Fogadj örökbe egy osztályt!,Adopt a class!,Budapest,Budapest,Para-fitt Sport Club,HU05-0108 - Adopt a class!,"Mentally ill people represent the largest handicapped population in Hungary but they are the mostly invisible members of the society. They do not meet people in general and this can be a reason for the population to mix them up with psychiatric patients and be afraid of them. The main objective of the project is to implement a series of programs for mentally ill people fostering their integration in and acceptance by the society. The objectives will be achieved by organizing 10 programs involving a group of young people (disadvantaged high school students) going on treks, to museums and theatre together with the handicapped children. They wil shoot a film of all events and create a movie for the wide public and organize a moderated screening afterwards.","A mentálisan sérült emberek láthatatlan része a társadalmunknak. Általában kevés lehetőségük van kapcsolatba kerülni a teljesen egészséges emberekkel, ami sok irreális félelemet és előítéletet szül. Az egyesület \"Fogadj örökbe egy osztályt\" programjában középiskolai osztályokat, közösségeket hoz össze mindkét oldalról. Színházi előadásokra, koncertekre, és egyéb kulturális programokra járnak együtt. A résztvevőket forgatócsoport kíséri, és filmet készít a közös élményekről.",,€6 550
Ifjúsági és gyermek ügyek,youth and children issues,41,NCTA-2013-2613-D,Pétervásárai Ifjúsági Egyesület,"MI-EGY-MÁS, mi együtt mások vagyunk!",We are different together!,Pétervására,Pétervására,Pétervására Youth Association,HU05-0115 - We are different together!,"Children living in foster houses in the underprivileged region of Pétervására do not receive as much support as they would need and programs run by the institute for spending their leisure time are not very meaningful. Also the local inhabitants do not know them and do not treat them fairly as they have prejudices against orphans. The main objective of the project is therefore to organize creative programs for the children living in the foster homes to strengthen their personal relationships, to foster new community experiences, to help release conflicts and to support the integration into the community so they may become more accepted by the wider society. The project promoter will work with 40 orphans from 2 different orphanages (Pétervására, Istenmezeje), 10 teachers and professionals working in the orphanages as well as 15 active members of the association. The indirect group is the local inhabitants of Pétervására and its area (5-6000 people).","A projektben a lakásotthonokban élő fiataloknak és bevonásukkal szerveznek programokat a Pétervásárai Ifjúsági Egyesület tagjainak együttműködésével. Mindezzel a lakásotthonokban élő fiataloknak segít a társadalom aktív tagjává válni. Tevékenységek: önkéntes képzések, patronáló párok kialakítása, 4 témában, havi bontásban műhelyek lebonyolítása, közös sportnap szervezése, kisfilm készítése a lakásotthonokban élő fiatalok életéről és a program menetéről, MI-EGY-MÁS zárókonferencia szervezése illetve folyamatos médiatevékenység végzése.",,€6 361
Ifjúsági és gyermek ügyek,youth and children issues,76,NCTA-2013-3173-D,Shero Dél-alföldi Roma Fiatalok Közhasznú Egyesület,Társasjáték a mélyszegénységben élők oktatási sikerességéért,Boardgame for the educational successes of families living in deep poverty,Szeged,Szeged,Shero Association,HU05-0121 - Boardgame for the educational successes of families living in deep poverty,"The education of Roma and disadvantaged youth is unsuccessful; moreover there are several prejudices in our society towards them. The main goal of the project is to develop a special board game to provide experience for teacher candidates about the problems of these young people. With the help of the game the participants gain useful knowledge and receive an efficient tool which is applicable in their work. The long term objective of the project is to introduce awareness raising and equal opportunities into secondary school teaching practice. The direct target groups are pre-service teachers, university students of related subjects, educators in teacher training, teachers in secondary schools, as well as NGOs. Collaborators of the project will become more conscious in awareness raising, their work focus on the problems of disadvantaged/Roma youth will be known and they will reach out to and mobilizee further supporters.","A roma/hátrányos helyzetű fiatalok oktatása sikertelen, életkilátásaik kedvezőtlenek, számos előítélet él társadalmunkban e csoportokkal kapcsolatban. A problémák orvoslásában a pedagógusoknak és a pedagógusképzésnek kulcsszerepe van. A Shero elkészít egy társasjátékot, melynek segítségével a pedagógusjelöltek, segítő hivatásra készülők átélhető tapasztalatokat szerezhetnek a roma fiatalok problémáiról. A projekt hosszú távú célja a társadalmi szemléletformálás, és az esélyegyenlőség beemelése a középiskolai pedagógiai gyakorlatba.",,€1 100
Ifjúsági és gyermek ügyek,youth and children issues,15,NCTA-2013-1975-D,Szeder (Szülők Egyesülete Diákokért Erdőkertesen) Közhasznú Egyesület,Szeder (Szülők Egyesülete Diákokért Erdőkertesen) Közhasznú Egyesület ifjúság és gyermekvédelmi feladatainak támogatása,Implementation and support of Szeder Public Benefit Association’s child and youth protection project,Erdőkertes,Erdőkertes,Szeder Public Benefit Association of Parents for Students in Erdőkertes,HU05-0110 - Implementation and support of Szeder Public Benefit Association’s child and youth protection project,"The target area of the project is Veresegyház region where the number of inhabitants doubled in the past 20 years and also the unemployment rate has reached a very high level recently. Most of the parents are undereducated, unemployed, have low income, or live under subsistence level and raise several children. The current education system cannot properly support these children, including drug users and stragglers at the age between 11 and 18. Therefore, the objective of the project is to organize a special thematic program for disadvantaged (drug user and straggler) children: 10 pre-developed prevention-based thematic programs in 8 settlements of Veresegyház region (including trainings, presentations, talent show, summer camp, etc.) The target group consists of mildly disabled children and also children with deviant behavior, app. 500 students.","A Szeder Közhasznú Egyesület fiatalkorú drogfogyasztók, és iskolai csellengőket célzó prevenciós tevékenységét fejleszti és fogyatékkal élő fiatalkorú gyermekek részére tervez tehetségkutató programot. Ez prevenciós jellegű tematikus és tehetségkutató programokat és a bevont önkéntesek továbbképzését tartalmazza. A tematikus programok a drogprevenció, az önismeret fejlesztés, a közösségépítés és -fejlesztés, a biztonságos internethasználat, pályaorientációs tanácsadás, környezettudatos és egészségmegőrző nevelés témakörökben tartalmaznak előadásokat és probléma feldolgozó képzéseket. A megvalósítást az Esély Szociális Alapellátási Központ és a Gödöllői Rendőrkapitányság mint szakmai együttműködők segítik. Az eredmények intézményi szinten és szervezetek között hasznosulnak.",,€9 999
Ifjúsági és gyermek ügyek,youth and children issues,18,NCTA-2013-2014-D,Televele Médiapedagógiai Műhely Egyesület,Médiapedagógia és demokratikus értékek,Mediapedagogy and democratic values,Budapest,Budapest,Televele Media Literacy Association,HU05-0111 - Mediapedagogy and democratic values,"The project intends to support and distribute media literacy, and educate children about democratic values. The project is focusing on the age-group which doesn't have media education in Hungary. In the project media literacy activity for kids, teacher trainings, promotion of media literacy, and creation of a media education network for teachers is realized. The MOPED educational packet in kindergartens and schools in three different towns will be introduced. Related to the education teachers and kindergarten teachers will participate in trainings and at supervisions. To promote Moped packet and media literacy road-shows will be organized in 6-7 towns, too. As part of the project a special network will be created for teachers who are involved in the media and democracy education. In the project 210-220 children, 250 teachers, and 150 parents will be involved.","A projekt célja az eddig Magyarországon hiányzó kisgyermekkori médiapedagógia és demokratikus értékekre nevelés szemléletmódjának, gyakorlati alkalmazásának bemutatása, terjesztése és a Televele Egyesület MOPED programjának (médiaértés-demokratikus értékekre nevelés) népszerűsítése, minél szélesebb alkalmazásának elősegítése. A program kifejezetten a médiaoktatás intézményes keretéből eddig kimaradt korosztályra fókuszál, de ennek részeként a velük foglalkozó felnőtteket is képzi.",,€8 873
Ifjúsági és gyermek ügyek,youth and children issues,75,NCTA-2013-3162-D,Tutor Alapítvány a betegek és szegények megsegítéséért,TABU VAGY KAMU - a fiatalkorúak sérelmére elkövetett nemi erkölcs elleni bűncselekmények és az emberkereskedelem kapcsolatának,Taboo or False (Child Prostitution Issue in Hungary),Budapest,Budapest,Tutor Foundation for Helping the sick and the poor,HU05-0120 - Taboo or False (Child Prostitution Issue in Hungary),"It is necessary to change public perceptions about children forced into prostitution in the systems of child and victim protection. It is important to get the underage victims to know about the institutional childcare network and their declared rights. It is not evident in Hungary that these children would take advantage of state services by themselves. The main goal of the project is to familiarize children with the child protection system and related services or to prevent them from becoming into actual victims. The project contains the analysis of 30 narratives of sexual harassments and abuses, collected from victims suffering from childhood victimization. The anonymous narratives will be studied and analyzed in several ways in small groups with the help of an expert. Based on this, recommendations for research areas and basic tutorials for peer education curricula will be formulated.","A projekt célja, hogy a prostitúcióra kényszerített gyermek és fiatalkorú áldozatok megítélése megváltozzon a gyermek- és az áldozatvédelem rendszerében. A Tutor Alapítvány azt is szeretné elérni, hogy a gyermekkorú áldozat tudjon az intézményi hálóról és a deklarált jogaikról, ha kiskorúként bűncselekmény áldozatává lesznek, vagy veszélyben érzik magukat több rendszeren keresztül is hatékonyan jelezhessenek. A projektben végzett tevékenységek: összegyűjtik, elemzik és közreadják a nemi erkölcs elleni erőszak és emberkereskedelem áldozatainak narratíváit, amit a gyermekkorú áldozatok vagy gyermekkorban áldozattá lettek körében gyűjtenek össze. Ajánlásokat fogalmaznak meg a témához kapcsolódó területeken, mint a kortárs oktatás, kutatás, az ellátó, védelmi rendszer fejlesztése és a megelőzés valamint a civil közreműködők szerepe. Szakmai expót szerveznek a szakmai szervezetek, döntéshozók, kormányközi és nemzetközi szervezetek részvételével. Az expót a történetekre épülő 1 hetes lakossági kommunikációs kampány egészíti ki.",,€2 099
Ifjúsági és gyermek ügyek,youth and children issues,59,NCTA-2013-2950-D,Fiatalok A Megértésért Magyarországi Egyesülete,Coloured Glasses - a sokszinűség elfogadását célzó program középiskolások számára,Coloured Glasses -program for promiting diversity among secondary level students,"Budapest,","Budapest,",Youth For Understanding Hungary,HU05-0118 - Coloured Glasses -program for promiting diversity among secondary level students,"The situation and integration of immigrants and minorities is a very current issue in today's Hungary. The project draws attention to the fact that discrimination is a real social problem. The objective of the project is the adaptation and implementation of an intercultural education methodology to the domestic situation that has already been applied abroad (including Norway). Approximately 2200-2500 students will take part in the programs. Thus, the project will contribute to the future reduction of social inequalities and discrimination through shaping the viewpoints of high school students. The number of the volunteers of the organization will also be increased by 30 people as the result of the project. The applicant organization will use the prepared methodology in the future by making it available for the students participating in the program.","A projekt célja egy külföldön már alkalmazott, interkulturális nevelést célzó módszer hazai viszonyokra történő adaptálása és bevezetése. A résztvevők tíz budapesti, négy Budapest környéki és 27 vidéki város középiskolás korú fiatalsága (kb. 60 iskola) valamint a pályázó szervezet alkalmazottjai és önkéntesei. A módszertant a norvég YFU szervezettel adaptálják a magyar viszonyokra. A projekt eredményeként a pályázó szervezet önkénteseinek létszáma 30 fővel fog emelkedni, a programokon a tervek szerint összesen mintegy 2200-2500 diák vesz részt.",,€2 888
Ifjúsági és gyermek ügyek,youth and children issues,48,NCTA-2013-2687-D,Zachor Alapítvány a Társadalmi Emlékezetért,Virtuális találkozások túlélőkkel és szemtanúkkal zsidó helytörténeti séták nyomán – informális oktatási program,,Budapest,Budapest,Zachor Foundation for Social Remembrance,HU05-0116 - Virtual Encounters with Survivors and Witnesses through Jewish Local History Walks - an informal educational program,"This project is an informal educational program - Virtual Encounters with Survivors and Witnesses through Jewish Local History Walks. The aim of the project is to familiarize students with the history and tradition of the Jews in Hungary as well as with the Holocaust and its consequences. Knowledge gained will develop critical thinking skills and on a longer run this will result in an attitude and behavior change. As a result, students will become more open-minded and more tolerant. The objective will be achieved by creating special downloadable mobile applications with survivors’ interviews and organizing sightseeing tours around Budapest integrating the interviews into the tour. The most important change is that students will become more dismissive against stereotypes and more sensitive towards minority rights. All these values will be made evident to teachers as well.","A Zachor Alapítvány informális oktatási programjában helyi történeti séták szervezésével szeretné megismertetni a diákokkal a magyarországi zsidóság történetét, hagyományait, a holokauszt eseményeit és következményeit. A projekt célja hogy a kisebbségek elfogadása, valamint a gyűlöletbeszéd és a diszkrimináció elutasítása a mindennapi kultúra részévé váljon.",,€1 203
Ifjúsági és gyermek ügyek (Makró),youth and children issues,118,NCTA-2013-4176-M1,Demokratikus Ifjúságért Alapítvány,A demokrácia iskolája,Democracy Academy,Budapest,Budapest,Foundation for Democratic Youth,HU05-0090 - Democracy Academy,"DIA's project aims at enhancing the capacity of participating organizations by involving young people as volunteers/interns in their work. The active work with NGOs will develop young people’s democratic and active citizenship attitudes. The project promoter also strives to become a highly professional organization in civil society development. The organizations which join the program are working with youngsters in order to make the lives of marginalized youths better and draw public attention to the socially disadvantaged. The project focuses on an interactive exchange of experiences (taking stock of assets, site visits, trainings, organizational development, coaching, blogging, public advocacy events, etc), and the creation of an innovative methodological portfolio. The expected results are that the participating organizations will get stronger, a network of youth service organizations will be created, the organizations’ advocacy potential will further develop, so will social dialogue and solidarity while the democratic deficit will decrease.","A DIA projektjének célja, hogy a bevont szervezetek kapacitását fiatalok bevonásával fejlesszék. Ugyanakkor a résztvevő fiatalok demokratikus készségeinek fejlődésével a jövő döntéshozóinak aktív állampolgáraivá válnak. Ezzel párhuzamosan a DIA egy magas szintű fejlesztő szervezetté kíván válni, amelyik átfogó módszertani és szervezeti fejlesztést képes megvalósítani az ifjúsági önkéntességben érintett szervezetekkel itthon és a szomszédos országokban. Ezzel hosszabb távon hozzájárul a társadalmi innováció megvalósulásához többek között fenntartható társadalmi vállalkozások beindításával és működtetésével. A fejleszteni kívánt szervezetek mind fiatal önkéntesek bevonásával dolgoznak hátrányos helyzetű vagy marginalizált fiatalok életkörülményeinek a javításán, a köz figyelmének a kiszolgáltatottak helyzetére történő irányításán. A tervezett tevékenységekek interaktív szakmai tapasztalatcserére (állapotfelmérés, helyszíni szakmai látogatások, találkozók, belső képzések, szervezetfejlesztés, coaching, mentorálás, szakmai blog elindítása, nyilvános szakmai események) és egy innovatív módszertani portfolió létrehozására koncentrálnak. A széles kör számára elérhető tevékenységek eredményeképpen a szervezetek megerősödnek, létrejön az ifjúsági önkéntesség szakmai hálózata, ezzel pedig nő a szervezetek érdekérvényesítő képessége, erősödik a társadalmi párbeszéd, a társadalmi szolidaritás, és csökken a demokrácia deficit.",,€117 978
Jóléti szolgáltatások társadalmilag sérülékeny csoportoknak,provision of welfare and basic service to vulnerable groups,23,NCTA-2013-2192-F,Advantage Szabadidő Sport Egyesület,Fogyatékkal élő fiatalok integrálása streetball-tömegsport rendezvényekre,Integration of Young People with Disabilities to the Streetball Recreational Sports Events,Budapest,Budapest,Advantage Leisure Time Sport Club,HU05-0027 - Integration of Young People with Disabilities to the Streetball Recreational Sports Events,"Segregation can be observed in all areas of life, including sports for people with disabilities. There are no shared sports events and hardly any opportunity exists for joint participation. The project promoter aims at raising awareness in the field of sport about integrated participation of the able-bodied and the impaired. Thus the organization connects impaired players into streetball events and plans several programs like joint games for celebrities and wheel-chair players, info tent about sport opportunities, etc. Besides they assess sport opportunitites of disabled paople at Budapest and Körmend. The program would be extended to other spots in the country through long-term cooperation with the appropriate groups.","A projekt célja, hogy kerekes székes kosarasok, SNI-s (Speciális Nevelést Igénylő) gyerekek és S.O.-s (Speciális Olimpikon) fiatalok az épekkel együtt mozoghassanak. Erre lehetőség a streetball tömegsport rendezvényeibe való bekapcsolódás. Az Advantage ezért többféle kiemelt programot tervez a streetball rendezvényhez kapcsolni, pl.: hírességek és kerekes székes válogatott közös játékát, ziccerdobást kerekes székből, és közös dobóversenyt az épekkel és információs sátrat, ahol a további tömegsport, szabadidősport és versenysportolási lehetőségekről kapnak tájékoztatást. Emellett Körmenden és Budapesten felmérik a fogyatékkal élők sportolási lehetőségeit és az erről való tájékozottságukat. A programot az ország több pontjára kiterjesztenék, hosszútávú együttműködést kialakítva ezekkel a csoportokkal.",,€4 377
Jóléti szolgáltatások társadalmilag sérülékeny csoportoknak,provision of welfare and basic service to vulnerable groups,44,NCTA-2013-2640-F,Ágacska Alapítvány az Örökbefogadásért és a Családokért,"\"Aktív Adopt\" - Aktívan az örökbefogadás felvállalásáért!",Active Adopt!– For Undertaking the Adoption,Budapest,Budapest,Ágacska Foundation for Adoption and Families,HU05-0031 - Active Adopt!– For Undertaking the Adoption,"As adoption is an issue fringed by prejudice and ignorance, adoptive families are often isolated and struggle alone with their special problems. Ágacska Foundation aims to integrate the adoptive families by building up a self-help community and a volunteer mentor network. Adoptive parents and young adopted play an active role in the project, supporting others by sharing their own example and experience with them.","Az örökbefogadó családok speciális problémáiról a társadalom keveset tud, ezért az örökbefogadó családok és tagjaik könnyen elszigetelődnek. Az Ágacska Alapítvány projektjének célja, az elszigetelt családok integrációja, segítő közösség kialakítása, és önkéntes mentorhálózat felépítése az örökbefogadó szülők és fiatalok bevonásával. A mentorképzés mellett 4-5 család részvételével dokumentumfilm is készül.",,€9 285
Jóléti szolgáltatások társadalmilag sérülékeny csoportoknak,provision of welfare and basic service to vulnerable groups,66,NCTA-2013-3066-F,Váltó-sáv Alapítvány,VÁLTÓ PONT,CHANGE POINT,Budapest,Budapest,Change Lanes Foundation,"HU05-0045 - CHANGE POINT: services for socially handicapped people in/after detention, to improve their family and social connections and support their social reintegration","Former prisoners find themselves in a difficult situation in the labour market when they try to find a job. The objective is to reduce economic/social and/or political marginalization, and to create (re)integration possibilities, to change social attitude and to fight against discrimination and inequality. The foundation aims to strengthen family and community relations of inmates and former prisoners, facilitate their post-release reintegration and provide services to support their social inclusion. The activitites include providing information for the target group, running craftman activities, operating a charity shop and exchange café for professionals and the group of relatives.","A Váltó Sáv Alapítvány egy fogvatartottak visszailleszkedését segítő szervezet. A Váltó pont létrehozásával a fogvatartottak családi, hozzátartozói és egyéb közösségi kapcsolatait szeretné erősíteni és alapvető szociális szolgáltatásokat biztosítani a fogvatartottaknak, szabadultaknak és a családi/emberi kapcsolataiknak. A projektben létrehoznak egy adományboltot, melyben saját készítésű termékeket is fognak árulni és számos programot szerveznek. A projekt bővíti és szélesebb kör számára is elérhetővé teszi a fogvatartottak/szabadultak társadalmi problémáinak ismeretét, ezzel hangsúlyozva a társadalmi felelősségvállalást.",,€9 965
Jóléti szolgáltatások társadalmilag sérülékeny csoportoknak,provision of welfare and basic service to vulnerable groups,10,NCTA-2013-1801-F,Cri Du Chat Baráti Társaság,Képpel könnyebb! - sérült gyermekek fejlesztését segítő szolgáltatás,It's easier with a picture - sercive helping the development of disabled children,Budapest,Budapest,Hungarian Cri Du Chat Syndrome Support Society,HU05-0033 - It's easier with a picture - sercive helping the development of disabled children,"In the case of multiply impaired or mentally challenged children, verbal communication is often difficult or impossible; it proves to be a problem both in their development and in their closest family circle. Different forms of alternative communication are rarely or never used in institutionalised education. In this project the organization promotes professional and social acceptance of pictorial, alternative communication and facilitates access to equipment and methods for development. The main goal is to help the development and communication within the families of children and young adults who either have speech impediments, are illiterate, or cognitively impaired. Elements of the project are: collecting equipment and aid for development; consultation with the families concerned; developing pictures, cards and screening; developing a website, organising publicity campaigns, publishing an information package.","A projekt célja a beszédjükben akadályozott, írni-olvasni nem tudó, értelmileg sérült gyermekek és fiatalok családban történő fejlesztésének és kommunikációjának elősegítése. Tapasztalok szerint az életkor előrehaladtával a szülő egyre kevesebb tárgyi és elméleti segítséget kap az otthoni fejlesztésekhez. Fokozottan igaz ez a beszédindítás sikertelensége esetén, ha az alternatív kommunikációt az intézményben nem használják. A szervezet a sérült gyermeket ellátó családoknak szeretne segíteni az alternatív kommunikáció megtanulásában és használatában. Ehhez létrehoznak egy honlapot, melyről könnyen használható képi segédeszközöket lehet letölteni és a kártyák ingyenes elkészítését is vállalják. A többségi társadalom figyelmét a problémára egy a kortárs gyermekekhez szóló kiadvánnyal hívják fel, mely a kommunikációs kártyákat is bemutatja.",,€2 117
Jóléti szolgáltatások társadalmilag sérülékeny csoportoknak,provision of welfare and basic service to vulnerable groups,36,NCTA-2013-2481-F,Magyar Zsonglőr Egyesület,Szociális cirkuszi program LHH kistérségben és egészségügyi intézményekben,Social circus program in the most disadvantaged micro-regions and in health institutions,Budapest,Budapest,Hungarian Juggling Association,HU05-0053 - Social circus program in the most disadvantaged micro-regions and in health institutions,"Equipment for helping the development of children living in poor regions and similarly, for hospitalised young people, is terribly modest. There are only a few accessible programs. The goal is to introduce social circus methods and to present what can be is achieved through them, encouraging its use in other disadvantaged communities. The project aims at developing the self-confidence of the Roma students at Sajókaza primary school and children with mental illnesses by utilising the positive effects of juggling. Group leaders and head teachers will be trained as well, so that the impacts of the project can ba maintained.","A sajókazai Ámbédkár iskola és a Heim Pál gyermekkórház pszichiátriáján ápolt gyermekeknek a zsonglőrködésre alapuló foglalkozásokat szervez a Zsonglőr Egyesület. A zsonglőrködés a fiatalok testtudatát, ügyességét, önbizalmát, koncentrációs és szociális képességeit is fejleszti. A program egy tanévet ölel fel, a csoportok részt vesznek a nyári zsonglőr találkozón is. A program során cél, hogy idővel a résztvevő diákok saját maguknak is képesek legyenek megtartani a foglalkozásokat. Pünkösd hétvégéjén három napos intenzív közös munka és játék után a gyerekek a helybéli közönségnek előadást tartanak.",,€9 993
Jóléti szolgáltatások társadalmilag sérülékeny csoportoknak,provision of welfare and basic service to vulnerable groups,98,NCTA-2013-3695-F,Magyar Williams Szindróma Társaság,Életmód táborok az önállóságért,Lifestyle camps for independence,Budapest,Budapest,Hungarian Williams Syndrome Association,HU05-0046 - Lifestyle camps for independence,The goal of the project is to prepare and empower young disabled people for independent life without parents. The project adresses these challenges throgh study visits; lifestyle camps; open days for local interested people; a workshop presenting the results; documentation and promotional materials. The target groups are young people either with Williams syndrome or other similar disabilities as well as their family members.The Norwegian FRAMBU will help the project as a mentor by sharing their best practices.,"A programban az iskolából kikerülő fogyatékkal élő fiatalokat készítik fel az önálló életre és a munka világára két egyhetes tábor keretében egy szabadszállási tanyán. A tábor professzionális szervezését a norvég FRAMBU-nál tett tanulmányi kirándulás és külföldi jó gyakorlatok adaptálása segíti. A projekt része emellett a résztvevő önkéntesek képzése, és a családok lelki, szakmai felkészítése. Az eredményeket két nyílt napon és egy, a partner részvételével megrendezett workshopon ismertetik. Az eredmények remélhetőleg hozzájárulnak helyi szinten megvalósuló hasonló projektek szervezéséhez, melyben az MWSZT mentori segítséget is tudna nyújtani. Hosszú távon a partnerségek megerősítésével, ill. a célcsoport és családtagjaik testi, lelki felkészítésével egy adaptált lakhatást és munkahelyet teremtő program kialakítása válik lehetővé.",,€10 420
Jóléti szolgáltatások társadalmilag sérülékeny csoportoknak,provision of welfare and basic service to vulnerable groups,37,NCTA-2013-2492-F,Mosoly Otthon Közhasznú Alapítvány,"Autistic Art művészeti program, kiállítás és termékfejlesztés","Autistic Art program, exhibition and product development",Budapest,Budapest,Smile Home Foundation,"HU05-0042 - Autistic Art program, exhibition and product development",The Smile Home runs an art program in residential homes for autistic people. They will present the artworks created at the 10th International Conferenc about Autism and also organize a charity auction for the benefit of the residential homes. A brand line of textile products will be developed based on the most beautiful motives of the artworks.,"A Mosoly Otthon AutisticArt művészeti programját folytatja autista lakóotthonokban, melynek eredményeit nemzetközi közönség előtt (10. Nemzetközi Autizmus Kongresszus) is szeretné bemutatni az elkészült alkotások kiállításával. A műveszeti programban készülő képekből jótékonysági aukciót rendeznek az autista lakóotthonok javára. Az autista alkotások legszebb motívumai alapján textil alapú design termékeket is fejlesztenek.",,€9 970
Jóléti szolgáltatások társadalmilag sérülékeny csoportoknak,provision of welfare and basic service to vulnerable groups,32,NCTA-2013-2392-F,NEO Magyar Segítőkutya Egyesület,Beszéljünk nyíltan a fogyatékosságról! - értékformálás segítőkutyák bevonásával,Let's talk openly about disability!,Budapest,Budapest,NEO Hungarian Assistance Dogs Association,HU05-0043 - Let's talk openly about disability!,"Impaired people have to live their lives in a world that prioritizes the needs of those living without disabilities. The goal of this project is to strengthen and develop relations and cooperation, thus reducing fears against the disabled and lifting the emotional barrier between healthy and impaired people. The project intends to introduce the everyday life of the impaired with the help of assistance dogs and thus shape the social values of healthy children and adults. The project addresses the challenges by public awareness raising activities in pre-schools, schools and work places by presenting assistance dogs and dog assisted para-sports. A short video and media campaign completes the project.","A projekt keretében hallás-, látás- és mozgássérült emberek segítőkutyáik bevonásával mutatják be a sérüléssel élők mindennapjait ép gyermekeknek és felnőtteknek. A kutyák jelenléte nyitottabb légkört biztosít a fogyatékosságról szóló, tabuk nélküli párbeszédhez. A programnak része a speciális segítőkutyák kiképzése és ismeretterjesztő és szemléletformáló programok tartása a segítőkutyákkal (segítőkutya/parasport-bemutató, óvodai, iskolai és munkahelyi érzékenyítő tréningek) valamint egy a fogyatékosok mindennapjait bemutató, segítőkutyákat népszerűsítő kisfilm készítése is. A projektben résztvevő együttműködő partnerek: többségi óvodák, iskolák, munkahelyek, rendezvényszervező helyszínek.",,€7 464
Jóléti szolgáltatások társadalmilag sérülékeny csoportoknak,provision of welfare and basic service to vulnerable groups,85,NCTA-2013-3350-F,Pécs-Baranyai Hospice Alapítvány,Hospice önkéntesek képzése és a Pécs-Baranyai Hospice Alapítvány önkéntes bázisának megerősítése,Hospice volunteer training and extension of volunteer base of Pécs-Baranya Hospice Foundation,Pécs,Pécs,Pecs-Baranya Hospice Foundation,HU05-0055 - Hospice volunteer training and extension of volunteer base of Pécs-Baranya Hospice Foundation,"Approaching the end of one’s life is a vulnerable period for patients and their relatives as well. ‪Two-thirds of the population of Hungary would choose to die at home in case of an incurable disease, but nearly two-thirds die in hospital. ‪The goal is to develop the capacity of hospice service organisations by involving more volunteers and with general development. In order to achieve this, a training program is developed and more volunteers and trainers will be involved into an education program, who can continue working with patients after the project is finished.","A hospice szolgáltatással foglalkozó alapítvány célja, hogy még több önkéntes bevonásával bővítse a szervezet kapacitását. A cél érdekében tananyagot dolgoznak ki az önkéntesek képzéséhez, és több önkéntest és oktatót vonnak be a képzési programba. Emellett méréssel támasztják alá a hospice szolgáltatás hatásait. A projektnek köszönhetően az alapítvány több családot tud kiszolgálni jobb színvonalon. A méréssel pedig hiánypótló információkkal tudják ellátni a szakpolitikai döntéshozókat és a hospice tudományos kutatását.",,€9 076
