Svájci Magyar Civil és Ösztöndíj Alap,SMCA-2012-0162-S,"Kosztyu Ádám Emlékére a Leukémiás, Daganatos és Zemplén Fogyatékos Gyermekeiért Alapítvány","Foundation for Children with Special Needs, Leuchemia and Cancer in Zemplén, in memory of Ádám Kosztyu","KELL: esélyegyenlőségi-, információs és adománygyűjtő pont",Need: equality-info and charity point,"Based on Western examples the foundation wants to create a complex assistance program for chronically ill and disabled children, adults and their families in Miskolc Hospital. In this region the number of disadvantaged, poorly socialized people is really high and they miss several opportunities. Thus, the foundation wants to open in the Hospital an equality, information and fundraising point where they can help obtaining social and health aids. They also organize workshops (with lawyer, psychologist, nutritionist and health professionals), fundraising campaigns, clothing and food donating. During the hospital stay of chronically ill and disabled people the foundation also builds contacts with their environment to help their integration to normal life after their healing.","A projekt célja tartósan beteg és fogyatékkal élő gyermekek, felnőttek és családjuk részére esélyegyenlőségi-információs és adománygyűjtő pont működtetése, személyes tájékoztatás biztosításával, Miskolc Megyei Kórház területén. A központ segít szociális, egészségügyi támogatások megszerzéséhez kérvények, beadványok megírásában, lehetőséget nyújt fénymásolásra, internet hozzáférést és szakmai segítőket biztosít a célcsoport részére. Alkalmanként jogász, pszichológus, dietetikus, higiénés szakemberek bevonásával, és workshopok rendezésével, adománygyűjtő akciók szervezésével, ruhaneműk, tartós élelmiszerek időnkénti osztásával egészül ki a segítségnyújtás.",Borsod-Abaúj-Zemplén,22 384 440,,Sátoraljaújhely
Svájci Magyar Civil és Ösztöndíj Alap,SMCA-2012-0168-S,Elfogadlak Alapítvány,"""I Accept You"" Foundation",Veled tanulok,I learn with you,"The aim of this complex education-pedagogy program is to create workplaces, enhance the pupils' individual learning strategies and skills during their education and training. The program has four components: (1)  the VÁR-LAK program (You are welcome) provides day care for 1-5 years old children and help them reduce their disadvantages before the school starts; (2) the BEFOGADLAK program (I accept as you are) helps 50 students to improve school records, private students to do their final exams and help them doing school subjects better beside perfecting their basic skills; (3) the ""School of possibilities"" helps 9 to 27 years old private students and adults are to finish their studies; (4) in the Market Garden program educational gardening, basic farming skills and home garden cultivation can be learned.","A program célja a munkahelyteremtés és a tanulás segítése, annak érdekében, hogy a célcsoport egyre jobban saját erőire támaszkodhasson. A VÁR-LAK programban az iskolakezdési hátrányok csökkentése a cél 1-5 éves korú gyermekek részére biztosított napközbeni ellátás által.  A BEFOGAD-LAK program révén 50 gyerek tanulmányi eredményének a javulását tűzték ki célul, tantárgysegítés, alapkészség-fejlesztés, tehetséggondozás által. A LEHETŐSÉGEK ISKOLÁJA 9 - 27 éveseknek segít általános iskolai tanulmányaik sikeres lezárásában. A HÁZIGAZDA(G)SÁG elnevezésű program keretén belül tangazdaságot működtetnek, ahol elsajátíthatják és gyakorolhatják az alapvető gazdálkodási, földművelési ismereteket, valamint otthoni kertek kialakításához kapnak támogatást a látogatók.",Borsod-Abaúj-Zemplén,12 025 155,,Arló
Svájci Magyar Civil és Ösztöndíj Alap,SMCA-2012-0184-Z,Abaúj-Zemplén Értékeiért Közhasznú Egyesület,Association for the Values of Abaúj-Zemplén,Értékeink a Jövőnk! 30 éves a Zempléni Tájvédelmi Körzet,Our values are our future! 30 year of the Zemplén Landscape Protection Area,"The project raises awareness about and protects the region's rich natural values through an intensive environmental education program. The association also continues the reconstruction of the highly protected birch forest of Istvánkút, publishes a brochure about the natural values, erects info boards about the local flora and organizes the IV and V Zemplén Eco-trips.","A program célja, hogy felhívja a figyelmet a régió gazdag természeti értékeire intenzív környezeti nevelési programokkal Sátoraljaújhely általános iskoláiban. Emellett az egyesület élőhely rekonstrukciót is folytat az Istvánkúti Nyírjes fokozottan védett területén, kiadványt jelentet meg a Zempléni Tájegység természeti értékeiről és Tájékoztató táblákat helyez ki a helyi növényvilág fajairól.",Borsod-Abaúj-Zemplén,8 466 640,,Sátoraljaújhely
Svájci Magyar Civil és Ösztöndíj Alap,SMCA-2012-0187-S,Dél-borsodi Romák Integrációját Elősegítő Közhasznú Egyesület,Assocation Helping the Integration of Roma in South-Borsod,"„Önellátó, kiegészítő jövedelemet biztosító háztáji gazdálkodás elindítása a Mezőcsáti kistérségben élő roma családok számára”",Starting self-sufficient backyard farming in Mezőcsát for Roma families to provide additional income,"The direct goal of the project was to ensure proper operating conditions for community building programs and community services and to enhance the capacity of the minority self-government. In the project 10 persons are trained and employed, a greenhouse is built and a self-help group is set up that will have knowledge and experience in home gardening and farming to ensure additional income for their families.","A pályázat közvetett célkitűzése a kistérségben élő romák felzárkóztatása, gyermekeik esélyeinek növelése, valamint, a térség hátrányos helyzetű tagjainak társadalmi és munkaerő-piaci integrációja. A projekt fejlesztései a kistérség működő roma civil szervezeteinek biztosít megfelelő működési feltételeket, és növeli a kisebbségi önkormányzat kapacitását. A program eredményeiképp tíz személy kap képzést és munkát, egy üvegház épül és létrejön egy önsegítő csoport is, amely tudást és tapasztalatot szerez a házkörüli termelésről, mellyel plusz bevételt tudnak biztosítani családjaiknak.",Borsod-Abaúj-Zemplén,22 110 732,,Tisztarján
Svájci Magyar Civil és Ösztöndíj Alap,SMCA-2012-0197-S,Roma Munkaadók és Munkavállalók Szabolcs-Szatmár-Bereg Megyei Szövetsége,Szabolcs-Szatmár-Bereg Society of Roma Employers and Employees,Ki-út!,They way out,"The main goal of the project was to raise awareness about the dangers and consequences of prostitution in primary and secondary schools, student dorms, orphan houses in Nyíregyháza where children and pupils are exposed to danger. A secondary goal was to inform prostitutes in the town and harm reduction among them. The third goal was to find partners and create a network with them.",Iskolai szemléletformáló programjában a prostitúció veszélyeire és következményeire hívja fel a figyelmet a Szövetség. A program célcsoportja a különösen veszélyeztetett nyíregyházi kollégiumok és nevelőotthonok gyermekei és iskolások.,Szabolcs-Szatmár-Bereg,10 758 960,,Nyíregyháza
Svájci Magyar Civil és Ösztöndíj Alap,SMCA-2012-0199-Z,E-misszió Természet- és Környezetvédelmi Egyesület,E-mission Conservation and Environmental Protection Association,"""Kezedben a Jövő"" - Fenntarthatósági viselkedésminták fejlesztése az ifjúság körében","""The Future is in your Hands"" - developing sustainable behaviour patterns among youth",The association's goal was to raise awareness about sustainability among high school and upper grade students through practical activities and an on-line contest. In the project a science -based talent management program is developed as well to lay the basis for a talent managament college.,A projekt célja a középiskolás és felső tagozatos korosztály körében a fenntarthatósággal kapcsolatos ismeretek fejlesztése. A diákokat a helyi civil szervezetek tevékenységeibe is bevonják. A résztvevő diákok egy több fordulós on-line vetélkedőben is részt vesznek. A szervezet a projekt során egy tehetséggondozó programot is kidolgoz.,Szabolcs-Szatmár-Bereg,20 044 934,,Nyíregyháza
Svájci Magyar Civil és Ösztöndíj Alap,SMCA-2012-0217-Z,Állatbarát Alapítvány,Animal-friend Foundation,"Társadalmi szerepvállalás fejlesztése, a hatékony állatvédelem jegyében - Szabolcs-Szatmár-Bereg megyében",Improving social responsibilities for efficient animal protection in Szabolcs-Szatmár-Bereg county,"The foundation has a long history in animal protection and with this project they develop a volunteer network to enhance the effectiveness and reputation of the foundation. They want to create volunteer groups, which can undertake several tasks locally and start a program about the positive effects of relations between animals and disabled or elderly people.","Az alapítvány állatvédelmi tevékenysége nagy múltra tekint vissza, most egy önkéntes hálózat megszervezésével szeretnék növelni a szervezet elismertségét és hatékonyságát. Emellett elindul egy szemléletformáló program is, mely bemutatja az állatok és a fogyatékkal élők kapcsolatát valamint az idős emberek és az állatok együttélésének pozitív élettani hatásait. A program a menhelyről történő örökbefogadások ösztönzéséhez járul hozzá.",Szabolcs-Szatmár-Bereg,8 608 335,,Nyíregyháza
Svájci Magyar Civil és Ösztöndíj Alap,SMCA-2012-0229-S,Gyerekekért SOS 90 Alapítvány,SOS 90 Foundation for Children,A Kedvesház prgram fejlesztése,Developing the Sweethouse program,"In the Sweethouse project SOS 90 establishes human and financial resources for the operation of the house, so they can improve the living conditions of those 25 children and their families who live in the student dorm and can provide social, educational, preventive child protection and health services. Other objectives were to strengthen cooperation among professionals, civil organisations and local governments and facilitate and improve a service program that will promote the integration and inclusion of the Roma/disadvantaged population. The long-term objective is to develop a standardised 'Kedveshaz' programme that can be rolled out nationwide.","A projekt célja a humán és pénzügyi erőforrások megteremtése a Kedvesház működtetéséhez valamint a kollégiumban nevelkedő 25 gyerek és családjaik élethelyzetének javítása. További célok a szakmai szervezetek, civilek és helyi önkormányzatok közti együttműködések fejlesztése, és egy szolgáltató program létrehozása mely a Roma/hátrányos helyzetű  lakosság integrációjához járul hozzá.",Szabolcs-Szatmár-Bereg,24 064 000,,Nyírtelek
Svájci Magyar Civil és Ösztöndíj Alap,SMCA-2012-0237-S,Laurus Szociális és Kulturális Egyesület,Laurus Social and Cultural Association,Vasgyári Tűcsere Program,Factory needle exchange porgram,"Laurus aims at reducing the number of HIV/HCV infections by starting a needle-exchange program in Miskolc where this service is absolutely missing. The program reduces not only the number of infections but also helps users to enter treatment, and prevent exclusion from society by helping to stay in or get back to the labour market, avoid becoming homeless, promote family maintenance and keep abstinent.","A Laurus tűcsere programjával a HIV/AIDS fertőzések számának csökkenéséhez járul hozzá. A program célcsoportja a Miskolc Vasgyári városrészében lévő szegregátumok, és a környező külterületek lakossága. Az itt élő halmozottan hátrányos roma fiatalok között magas a dizájner drogot fogyasztók száma, és erősen terjed annak intravénás beviteli módja. A program célja még, hogy megelőzze a szenvedélybeteg társadalomból való kiilleszkedését (munkahely megőrzése, vagy visszakerülés a munka/iskola világába, hajléktalanná válás megelőzése, családban tartás elősegítése, absztinencia fenntartása). A projekt megvalósításával minimum 120 fő intravénás drogfogyasztót tudnak elérni, a projekt zárásakor éves szinten minimum 10 személyt juttatnak kezelésbe. További cél szakmai-jelzőrendszeri együttműködés kiépítése az ukrajnai tűcsere szolgáltatókkal.",Borsod-Abaúj-Zemplén,10 828 200,,Miskolc
Svájci Magyar Civil és Ösztöndíj Alap,SMCA-2012-0239-S,Nógrád Megyei Cigány Kisebbségi Képviselők és Szószólók Szövetsége,League of Roma Minority Representatives and Spokemen in Nograd,Egymásnak segítve,Helping each other,"This Roma association aimed at supporting cooperation and know-how exchange among organizations working in disadvantaged communities through organizing workshops and community programs. They also organize agricultural trainings, a waste to fuel program and provide counselling in debt settlement.","A projekt célja, hogy támogassa és erősítse a nógrádi civil szervezetek közti együttműködéseket a jó tapasztalatok és tudás megosztásával, műhelybeszélgetések és közösségi programok szervezésével. Emellett egy szociális gazdaság elindítása, a hulladékból tüzelőt program bevezetése és adósságrendezési tanácsadás. A program résztvevői alacsony iskolai végzettséggel rendelkező roma és nem roma emberek csoportja, akik tartós munkanélküliségben élnek, valamint azon fiatalok csoportjai, akik nem fejezték be az általános iskolát.",Nógrád,24 021 972,,Bátonyterenye
Svájci Magyar Civil és Ösztöndíj Alap,SMCA-2012-0240-S,A Hernádvölgye Romák és Hátrányos Helyzetűekért Egyesület,Association of Hernadvölgye Romas and Disadvatanged People,"Biobrikett Halmajon - ""Az égető kérdés""","Bio bricket in Halmaj- ""The burning question""","Biobricket is a a cheap and sustainable solution for heating. It can be produced locally by those who need it. In cooperation with the local forestry, vine and garden owners and with the local and minority self-governments of Halmaj village, the association launched such an activity. The main part of the bricket is used by those voluntarily working in the production and another part is sold to save money for the next years' delivery costs.","A biobrikett egy nagyon olcsó, ugyanakkor fenntartható energiaforrás, melyet helyben elő tudnak állítani a felhasználók. Halmajon széleskörű összefogással a helyi önkormányzatok, az erdészet, a szőlő és kerttulajdonosok bevonásával jön létre a biobrikett program. A brikett egy részét azok használhatják fel, akik önkéntesen részt vesznek a termelésben, másik részét viszont eladják, a jövőbeni költségekre forrást teremtve.",Borsod-Abaúj-Zemplén,2 156 000,,Halmaj
Svájci Magyar Civil és Ösztöndíj Alap,SMCA-2012-0243-Z,Energia és Környezet Alapítvány,Energy and Environment Foundation,Az utolsó szalmaszál,The last straw,"The project's aim was to promote the method of straw bale building that could help many families to create energy independent homes. The assosication reaches this goal through an information campaign (media campaign and street exhibitions), trainings, advocacy in the licensing process and by developing a community-based financing construction.","Az alapítvány az ország két régiójában népszerűsíti a szalmabála építészetet, mely egy ökologikus szemléletű építészeti mód, amivel sok család függetlenítheti magát az egyre dráguló energiahordozóktól. A cél elérése érdekében utcai kiállításokat és média kampányt szerveznek. A kampány célcsoportja a fiatal felnőttek és középkorúak alapvetően a közepes jövedelmi osztályból, valamint építész szakemberek és építésügyi hatósági ügyintézők.",Szabolcs-Szatmár-Bereg,11 413 940,,Nyíregyháza
Svájci Magyar Civil és Ösztöndíj Alap,SMCA-2012-0244-Z,Polyán Egyesület,Polyán Association,A Polyán gazdaság minta jellegének fejlesztése,Improving the model value of the Polyán farming,"The long term objective of the project is to promote nature friendly farming in Hungary, integrating the aspects of nature protection into land use practices. The direct objectives are to provide an operating best-practice example on such natural land uses as well as to improve the demonstrative character and services of this model farm. The direct target group of the project are those farmers, who are open to natural land use and extensive animal keeping. Indirect target groups are the population of small rural settlements in general, leaders of agricultural policy and the broader public, as the potential market for healthy food products of extensive farms.","A projekt általános célja a természetközeli gazdálkodás terjesztése Magyarországon és a természetvédelmi szempontok beépítése a gazdálkodásba. Rövid távú cél a természettel együttműködő gazdálkodásra jó példát adni, és fejleszteni a Polyán mintagazdaság bemutathatóságát, modell jellegét. A projekt közvetlen célcsoportja a természetközeli gazdálkodás és külterjes állattartás iránt nyitott gazdálkodók, a közvetett célcsoportok a kistelepülési népesség általában, az agrár szakpolitika vezetői, valamint a lakosság általában, mint a természetközeli gazdálkodás által előállított egészséges élelmiszerek potenciális vásárlói.",Borsod-Abaúj-Zemplén,20 469 088,,Mikóháza
Svájci Magyar Civil és Ösztöndíj Alap,SMCA-2012-0254-Z,Életfa Környezetvédő Szövetség,Lifetree Environmental Alliance,„Kis lépésekkel” - Családi ökolábnyom csökkentés Heves megye településein.,„With small steps” - decreasing the ecological footprint of families in Heves county settlements,The alliance has extensive experience in environmental education and in this project they carry out an environmental awareness raising program based on this in twelve schools of ten settlements. The target groups are directly the students of these settlements and indirectly their families.,"A szövetség a környezetvédelmi nevelés terén szerzett tapasztalatát hasznosítva szervez szemléletformáló programot tíz település 12 iskolájában. A helyszínekre való „kitelepülésekkel” elméleti és gyakorlati tanácsokkal látják el az érdeklődő diákokat, versenyt hirdetnek részükre, majd előadások, bemutatók tartásával követik a folyamatot, míg legvégül egy végső kitelepüléssel értékelik az elért eredményeket, és jutalmazzák a legjobb eredményt elért családokat, csoportokat.",Heves,11 080 920,,Eger
